 ##########################################

   Memory Reading Speed Test riscv64 rv64g optimized Sun Sep  4 13:53:38 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    7619   4241   3942   7622   4242   4235   6340   3387   5967
      16    7637   4250   3957   7637   4252   4249   6391   3420   6011
      32    7642   4250   3959   7639   4254   4253   6540   3490   6093
      64    4880   3193   1949   4926   2532   3046   6003   3353   5695
     128    5211   3210   1952   5352   2668   3295   6391   3445   5812
     256    4748   3086   1737   4364   2079   2836   6245   3407   5825
     512    4734   2660   1686   4382   1957   2650   6313   3417   6080
    1024    4664   2617   1384   4501   1833   2791   6321   3421   5984
    2048    4144   1116    783   4053   1466   2809   6314   3422   5959
    4096    3119   1920    508   3025    843   2568   4032   3353   3870
    8192    3057   2247    525   2981   1078   2719   3440   3214   3372

                End of test Sun Sep  4 13:53:54 2022

