 ##########################################

   Memory Reading Speed Test riscv64 rv64g optimized Sun Sep  4 13:54:27 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    7611   4241   4189   7611   4243   4248   6528   3680   6062
      16    7634   4232   4244   7633   4244   4244   6525   3714   6226
      32    7642   4241   4244   7644   4241   4240   6873   3807   6280
      64    5032   3242   3184   4581   3339   3346   6453   3585   5909
     128    5002   3286   3373   4949   3337   3316   6378   3561   5931
     256    4768   3168   3311   4900   3241   3349   6316   3542   5956
     512    4435   3060   3264   4656   3199   3313   6330   3531   6063
    1024    4492   3175   3192   4597   3190   3308   6312   3503   5901
    2048    3769   3041   3101   3913   3009   3166   6190   3542   5998
    4096    3014   2665   2732   3052   2773   2834   4246   3456   4051
    8192    3035   2900   1755   3094   2767   2926   3454   3279   3373

                End of test Sun Sep  4 13:54:43 2022

