 ##########################################

   Memory Reading Speed Test riscv64 rv64g optimized Sun Sep  4 13:55:32 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    7618   7812   7875   7583   7544   7861   6414   3556   6036
      16    7598   7870   7882   7634   7641   7909   7040   3531   6178
      32    7626   7904   7915   7637   7653   7918   6735   3649   6241
      64    5807   4873   4731   5799   4779   6544   6144   3498   5773
     128    5121   3937   5236   5220   4126   6437   6447   3450   5810
     256    4935   3425   6122   4888   3632   5950   6196   3391   5926
     512    4620   3354   5826   4618   3549   6285   6276   3410   6006
    1024    4781   2103   6251   4744   2308   6398   6299   3418   5973
    2048    3629   1267   5632   3609   1397   5889   4844   3388   4654
    4096    3070   1003   5291   3074   1175   4937   3955   3361   3851
    8192    3159   1096   2731   3150   1252   5164   3500   3251   3423

                End of test Sun Sep  4 13:55:48 2022

