 ##########################################

   Memory Reading Speed Test i686 i386 optimized Sun Dec  3 14:06:43 2023
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    5000   2663   4422   6309   3357   3187   3374   1797   3126
      16    5354   2748   4647   6764   3518   3335   3636   1892   3354
      32    5507   2797   4691   7053   3594   3390   3789   1935   3455
      64    5577   2799   4799   7163   3604   3402   3891   1955   3528
     128    2882   1941   2655   3205   2276   2238   1950   1252   1678
     256    2578   1791   2405   2814   2064   2050   1710   1146   1510
     512    2478   1790   2317   2688   2016   2007   1563   1116   1422
    1024    2231   1694   2069   2382   1879   1856   1228   1021   1174
    2048    1477   1326   1367   1478   1349   1352    709    692    697
    4096    1209   1138   1163   1207   1141   1146    591    583    575
    8192    1202   1130   1156   1186   1135   1130    587    576    573

                End of test Sun Dec  3 14:07:00 2023

